latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,318,530,3.8346405326088705e-7,0.0029104010532719432,
0,0,319,531,7.343139164894366e-7,0.0035675597835874004,
0,0,320,532,1.0650322173668597e-7,0.0015415043543198356,
0,0,321,533,0.000001819493612596137,0.005221325768241343,
0,0,322,536,1.0649602734192161e-7,0.0015414412903594207,
0,0,323,538,5.340725874047024e-8,0.0010575384840512915,
0,0,324,539,2.0959062346862656e-7,0.0020981210202474284,
0,0,325,542,5.3409919075267305e-8,0.001057546593488427,
0,0,326,543,1.563365350618357e-7,0.0022274930099386372,
0,0,327,544,6.812748654982588e-7,0.0034744697923881794,
0,0,328,545,2.0958391443334985e-7,0.002098076411172687,
0,0,329,546,0.000005570331365872006,0.013667459723921997,
0,0,330,551,8.012526703370356e-7,0.0037026430380876856,
0,0,331,553,7.148119405777739e-7,0.0041251809693297415,
0,0,332,554,0.0000040103050116118365,0.009754391292169772,
0,0,333,556,0.000001222315973326217,0.004670084574397954,
0,0,334,558,0.0000021493639396391523,0.008011301129656603,
0,0,335,559,1.0529878733774276e-7,0.0016368023332701117,
0,0,336,560,5.340116529250728e-8,0.0010574428240396265,
0,0,337,561,5.3406179291876346e-8,0.0010575005454820483,
0,0,338,562,2.772976496886374e-7,0.0024519071302514964,
0,0,339,563,2.095952746984761e-7,0.0020981509412069006,
0,0,340,568,2.969209527814409e-7,0.002520177033061639,
0,0,341,569,3.4637251216864056e-7,0.003060995629866157,
0,0,342,570,3.4337335576242773e-7,0.0024263336186016735,
0,0,343,571,3.0246543379087714e-7,0.002866724686684356,
0,0,344,572,4.413700706626643e-7,0.003074152241944627,
0,0,345,573,1.0529571687266618e-7,0.0016367572741299624,
0,0,346,576,2.977654248598986e-7,0.0025208921117347606,
0,0,347,577,0.000006435798614284331,0.012715751258373037,
0,0,348,578,0.0000012151010821021038,0.00492962994046467,
0,0,349,580,0.0000037361712001392345,0.008505618353407586,
0,0,350,582,0.000010842470662108317,0.0234108085808905,
0,0,351,585,5.3409994435451636e-8,0.0010575473697138397,
0,0,352,587,5.3410166425604535e-8,0.0010575491582110249,
0,0,353,588,1.064979455293967e-7,0.0015414517375379943,
0,0,354,589,0.0000025565122430034187,0.006423334979344091,
0,0,355,591,4.4135342469003385e-7,0.003074135119263144,
0,0,356,592,5.340617088710022e-8,0.00105749984339971,
0,0,357,593,0.0000012715367940800504,0.004820251247461489,
0,0,358,596,5.340832732265452e-8,0.0010575250301946152,
0,0,359,598,0.0000020449297725154527,0.006002806293047449,
0,0,360,599,6.221681660114582e-7,0.0035571967077749505,
0,0,361,601,1.0651287469854056e-7,0.0015415750729601406,
0,0,362,602,5.34107798331442e-8,0.0010575558721696299,
0,0,363,603,0.000005658721580526829,0.01024136827622266,
0,0,364,604,0.00000227724498171798,0.006992313624796956,
0,0,365,605,5.3409462549824565e-8,0.0010575384607504658,
0,0,366,608,2.0958892257905586e-7,0.0020981053201105954,
0,0,367,610,5.340836172284452e-8,0.001057524729289717,
0,0,368,613,0.0000011735410428869327,0.004600831514137367,
0,0,369,615,9.718693590833742e-7,0.004019778267709929,
0,0,370,617,2.773091969900328e-7,0.0025381732376847286,
0,0,371,618,5.340199387049706e-8,0.0010574520730980308,
0,0,372,621,1.0529843913538143e-7,0.0016367906528992047,
0,0,373,625,1.8478902926019508e-7,0.0019875815191154,
0,0,374,626,5.3405745644366296e-8,0.0010574942646949027,
0,0,375,627,2.095919389757158e-7,0.00209812357149842,
0,0,376,631,2.977525217489505e-7,0.002520778580836409,
0,0,377,632,3.7330722898673325e-7,0.002709343403696944,
0,0,378,633,0.000013971074047470448,0.029191062073881915,
0,0,379,634,3.7976839683580793e-7,0.003080899837440139,
0,0,380,639,6.648193194164432e-7,0.0035271779641107993,
0,0,381,640,0.000001663232904037367,0.005259626264980115,
0,0,382,644,0.0000012770818363960637,0.004607895610255951,
0,0,383,645,7.355750185342326e-7,0.0034952146766249943,
0,0,384,652,5.34064293089736e-8,0.0010575018907754757,
0,0,385,653,1.0650691561408245e-7,0.0015415181847023307,
0,0,386,655,1.0529998883398063e-7,0.0016368100544712238,
0,0,387,664,0.00000542858770044303,0.014991197805923014,
0,0,388,665,0.0000012109439636890084,0.004433699085596049,
0,0,389,675,2.513983589926342e-7,0.0023508460603262264,
0,0,390,676,0.0000012313005008773992,0.005107157425482322,
0,0,391,677,0.000003393694885981907,0.010451465618585551,
0,0,392,678,0.000004980394597637739,0.011466350912884823,
0,0,393,681,5.341170596495349e-8,0.0010575641284705371,
